PLAYER , TEAM , AGE , GP , G , FREQ , FGM , FGA , FG% , EFG% , 2FG FREQ , 2FGM , 2FGA , 2FG% , 3FG FREQ , 3PM , 3PA , 3P% , --------------------------------------------------------------
Precious Achiuwa,TOR,24,5,5,100,2.8,7.0,40.0,41.4,77.1,2.6,5.4,48.1,22.9,0.2,1.6,12.5,--------------------------------------------------------------
Jarrett Allen,CLE,25,5,5,100,4.0,6.2,64.5,64.5,100,4.0,6.2,64.5,0.0,0.0,0.0,-,--------------------------------------------------------------
Gary Harris,ORL,29,5,5,100,3.0,5.2,57.7,75.0,30.8,1.2,1.6,75.0,69.2,1.8,3.6,50.0,--------------------------------------------------------------
Trendon Watford,BKN,23,5,4,100,2.8,5.2,53.8,57.7,80.8,2.4,4.2,57.1,19.2,0.4,1.0,40.0,--------------------------------------------------------------
Johnny Davis,WAS,21,5,4,100,2.4,4.6,52.2,54.3,91.3,2.2,4.2,52.4,8.7,0.2,0.4,50.0,--------------------------------------------------------------
James Wiseman,DET,22,5,5,100,2.6,4.4,59.1,59.1,95.5,2.6,4.2,61.9,4.5,0.0,0.2,0.0,--------------------------------------------------------------
Jake LaRavia,MEM,22,5,5,100,1.4,4.0,35.0,40.0,40.0,1.0,1.6,62.5,60.0,0.4,2.4,16.7,--------------------------------------------------------------
Keon Ellis,SAC,23,5,4,100,1.6,3.8,42.1,55.3,15.8,0.6,0.6,100,84.2,1.0,3.2,31.3,--------------------------------------------------------------
Isaiah Jackson,IND,21,5,5,100,1.8,3.4,52.9,52.9,100,1.8,3.4,52.9,0.0,0.0,0.0,-,--------------------------------------------------------------
Craig Porter,CLE,23,5,3,100,1.2,2.8,42.9,42.9,92.9,1.2,2.6,46.2,7.1,0.0,0.2,0.0,--------------------------------------------------------------
Bryce McGowens,CHA,21,5,4,100,1.2,2.8,42.9,53.6,35.7,0.6,1.0,60.0,64.3,0.6,1.8,33.3,--------------------------------------------------------------
Nassir Little,PHX,23,5,4,100,1.2,2.8,42.9,53.6,28.6,0.6,0.8,75.0,71.4,0.6,2.0,30.0,--------------------------------------------------------------
Anthony Gill,WAS,31,5,5,100,1.2,2.6,46.2,46.2,92.3,1.2,2.4,50.0,7.7,0.0,0.2,0.0,--------------------------------------------------------------
Dereon Seabron,NOP,23,5,4,100,0.8,2.6,30.8,34.6,84.6,0.6,2.2,27.3,15.4,0.2,0.4,50.0,--------------------------------------------------------------
Svi Mykhailiuk,BOS,26,5,4,100,0.6,2.2,27.3,36.4,18.2,0.2,0.4,50.0,81.8,0.4,1.8,22.2,--------------------------------------------------------------
Luka Samanic,UTA,23,5,4,100,1.0,2.0,50.0,60.0,50.0,0.6,1.0,60.0,50.0,0.4,1.0,40.0,--------------------------------------------------------------
Caleb Houstan,ORL,20,5,4,100,1.0,2.0,50.0,70.0,10.0,0.2,0.2,100,90.0,0.8,1.8,44.4,--------------------------------------------------------------
Jared Rhoden,DET,24,5,3,100,1.0,1.8,55.6,61.1,55.6,0.8,1.0,80.0,44.4,0.2,0.8,25.0,--------------------------------------------------------------
Cory Joseph,GSW,32,5,3,100,0.6,1.8,33.3,50.0,33.3,0.0,0.6,0.0,66.7,0.6,1.2,50.0,--------------------------------------------------------------
Danuel House Jr.,PHI,30,5,4,100,0.8,1.6,50.0,56.3,50.0,0.6,0.8,75.0,50.0,0.2,0.8,25.0,--------------------------------------------------------------
Reggie Bullock Jr.,HOU,32,5,5,100,0.4,1.6,25.0,37.5,12.5,0.0,0.2,0.0,87.5,0.4,1.4,28.6,--------------------------------------------------------------
Amir Coffey,LAC,26,5,3,100,0.4,1.6,25.0,25.0,75.0,0.4,1.2,33.3,25.0,0.0,0.4,0.0,--------------------------------------------------------------
Josh Minott,MIN,20,5,5,100,0.6,1.2,50.0,50.0,66.7,0.6,0.8,75.0,33.3,0.0,0.4,0.0,--------------------------------------------------------------
Lindy Waters III,OKC,26,5,3,100,0.4,1.2,33.3,50.0,0.0,0.0,0.0,-,100,0.4,1.2,33.3,--------------------------------------------------------------
Alex Len,SAC,30,5,3,100,0.4,0.8,50.0,50.0,75.0,0.4,0.6,66.7,25.0,0.0,0.2,0.0,--------------------------------------------------------------
Jordan McLaughlin,MIN,27,5,2,100,0.2,0.8,25.0,37.5,50.0,0.0,0.4,0.0,50.0,0.2,0.4,50.0,--------------------------------------------------------------
Jericho Sims,NYK,25,5,2,100,0.2,0.4,50.0,50.0,100,0.2,0.4,50.0,0.0,0.0,0.0,-,--------------------------------------------------------------
De'Aaron Fox,SAC,25,4,4,100,11.3,22.5,50.0,56.1,66.7,8.5,15.0,56.7,33.3,2.8,7.5,36.7,--------------------------------------------------------------
Cameron Johnson,BKN,27,4,4,100,5.3,12.5,42.0,51.0,44.0,3.0,5.5,54.5,56.0,2.3,7.0,32.1,--------------------------------------------------------------
Markelle Fultz,ORL,25,4,4,100,5.5,11.0,50.0,50.0,93.2,5.5,10.3,53.7,6.8,0.0,0.8,0.0,--------------------------------------------------------------
Derrick Rose,MEM,35,4,4,100,3.0,9.3,32.4,39.2,73.0,1.8,6.8,25.9,27.0,1.3,2.5,50.0,--------------------------------------------------------------
Gabe Vincent,LAL,27,4,4,100,2.8,7.0,39.3,41.1,50.0,2.5,3.5,71.4,50.0,0.3,3.5,7.1,--------------------------------------------------------------
Amen Thompson,HOU,20,4,4,100,2.3,5.5,40.9,45.5,50.0,1.8,2.8,63.6,50.0,0.5,2.8,18.2,--------------------------------------------------------------
Jeremiah Robinson-Earl,NOP,23,4,4,100,2.5,4.5,55.6,72.2,50.0,1.0,2.3,44.4,50.0,1.5,2.3,66.7,--------------------------------------------------------------
Terance Mann,LAC,27,4,4,100,2.0,4.5,44.4,50.0,55.6,1.5,2.5,60.0,44.4,0.5,2.0,25.0,--------------------------------------------------------------
Otto Porter Jr.,TOR,30,4,4,100,1.8,4.0,43.8,59.4,31.3,0.5,1.3,40.0,68.8,1.3,2.8,45.5,--------------------------------------------------------------
Maxi Kleber,DAL,31,4,4,100,1.0,4.0,25.0,34.4,43.8,0.3,1.8,14.3,56.3,0.8,2.3,33.3,--------------------------------------------------------------
Vasilije Micic,OKC,29,4,4,100,1.5,3.3,46.2,61.5,38.5,0.5,1.3,40.0,61.5,1.0,2.0,50.0,--------------------------------------------------------------
Collin Gillespie,DEN,24,4,3,100,1.3,3.0,41.7,45.8,50.0,1.0,1.5,66.7,50.0,0.3,1.5,16.7,--------------------------------------------------------------
Tre Mann,OKC,22,4,2,100,1.8,2.8,63.6,72.7,54.5,1.3,1.5,83.3,45.5,0.5,1.3,40.0,--------------------------------------------------------------
AJ Green,MIL,24,4,4,100,1.0,2.5,40.0,55.0,20.0,0.3,0.5,50.0,80.0,0.8,2.0,37.5,--------------------------------------------------------------
Nick Smith Jr.,CHA,19,4,3,100,1.0,2.5,40.0,55.0,40.0,0.3,1.0,25.0,60.0,0.8,1.5,50.0,--------------------------------------------------------------
Dalano Banton,BOS,24,4,4,100,1.3,2.3,55.6,55.6,77.8,1.3,1.8,71.4,22.2,0.0,0.5,0.0,--------------------------------------------------------------
